Station,Latitude,Longitude,Temperature,Humidity,Temperature Min,Temperature Max,Wind Speed,Cloudines,Timezone,Latitude Division
Port Alfred,-33.59,26.89,71.01,78,71.01,71.01,5.01,81,7200,Southern_Temperate
La Palma,5.36,-74.39,66.31,96,66.31,66.31,3.04,45,-18000,Tropic_Cancer
Hermanus,-34.42,19.24,77.0,50,77.0,77.0,8.01,0,7200,Southern_Temperate
Coquimbo,-29.95,-71.34,57.2,93,57.2,57.2,6.93,0,-10800,Southern_Temperate
Tuktoyaktuk,69.44,-133.03,-10.23,97,-10.23,-10.23,10.89,100,-25200,Arctic
Yellowknife,62.45,-114.38,-13.34,75,-14.01,-13.0,10.29,40,-25200,Northern Temperate
Tasiilaq,65.61,-37.64,19.4,48,19.4,19.4,10.29,100,-10800,Arctic
Jiwani,25.05,61.74,73.47,37,73.47,73.47,12.44,0,18000,Northern Temperate
Ushuaia,-54.81,-68.31,41.0,86,41.0,41.0,8.05,75,-10800,Southern_Temperate
Tiksi,71.64,128.87,-14.6,99,-14.6,-14.6,4.29,100,32400,Arctic
Souillac,45.6,-0.6,50.95,76,50.0,51.8,18.34,51,3600,Northern Temperate
Busselton,-33.64,115.35,79.86,26,75.99,84.0,19.8,91,28800,Southern_Temperate
Rikitea,-23.12,-134.97,73.63,88,73.63,73.63,12.41,100,-32400,Tropic_Capricorn
Flin Flon,54.77,-101.88,10.08,95,10.08,10.08,6.62,100,-21600,Northern Temperate
Nanortalik,60.14,-45.24,28.26,62,28.26,28.26,7.38,89,-10800,Northern Temperate
New Norfolk,-42.78,147.06,57.87,58,55.0,61.0,10.29,75,39600,Southern_Temperate
Sao Felix do Xingu,-6.64,-51.99,70.68,98,70.68,70.68,1.83,99,-10800,Tropic_Capricorn
Tamiahua,21.28,-97.45,61.23,92,61.23,61.23,19.64,100,-21600,Tropic_Cancer
Puerto Ayora,-0.74,-90.35,70.84,90,70.84,70.84,10.67,10,-21600,Tropic_Capricorn
Pudozh,61.81,36.54,31.48,95,31.48,31.48,5.12,100,10800,Northern Temperate
Banjar,-7.37,108.54,81.41,78,81.41,81.41,5.66,98,25200,Tropic_Capricorn
Ribeira Grande,38.52,-28.7,62.6,93,62.6,62.6,17.22,75,-3600,Northern Temperate
Marawi,8.0,124.29,82.99,80,82.99,82.99,1.01,93,28800,Tropic_Cancer
Quatre Cocos,-20.21,57.76,85.55,58,84.99,86.0,13.87,20,14400,Tropic_Capricorn
Sobolevo,54.43,31.9,40.8,95,40.8,40.8,13.89,100,10800,Northern Temperate
Alcanede,39.41,-8.82,58.89,93,57.0,61.0,11.41,75,0,Northern Temperate
Vaini,15.34,74.49,81.32,51,80.6,82.4,11.41,40,19800,Tropic_Cancer
Zverevo,48.02,40.12,35.6,64,35.6,35.6,15.66,85,10800,Northern Temperate
Carnarvon,-30.97,22.13,81.32,13,81.32,81.32,7.18,0,7200,Southern_Temperate
Punta Arenas,-53.16,-70.91,48.09,70,46.4,50.0,10.29,75,-10800,Southern_Temperate
Kapaa,22.08,-159.32,74.03,73,73.0,75.2,24.16,90,-36000,Tropic_Cancer
Qinhuangdao,39.94,119.59,27.45,93,27.45,27.45,1.61,85,28800,Northern Temperate
Atuona,-9.8,-139.03,79.88,73,79.88,79.88,13.38,100,-34200,Tropic_Capricorn
Avarua,-21.21,-159.78,73.4,100,73.4,73.4,6.93,100,-36000,Tropic_Capricorn
Port Moresby,-9.47,147.16,82.4,83,82.4,82.4,17.22,75,36000,Tropic_Capricorn
Comodoro Rivadavia,-45.87,-67.48,66.2,45,66.2,66.2,24.16,0,-10800,Southern_Temperate
Bredasdorp,-34.53,20.04,76.15,44,75.2,77.0,12.75,0,7200,Southern_Temperate
Kodiak,39.95,-94.76,33.37,93,30.99,35.6,10.29,1,-21600,Northern Temperate
Barrow,-38.31,-60.23,45.77,77,45.77,45.77,3.44,0,-10800,Southern_Temperate
Butaritari,3.07,172.79,83.23,74,83.23,83.23,4.03,100,43200,Tropic_Cancer
Ergani,38.27,39.76,41.92,100,37.4,46.4,1.12,90,10800,Northern Temperate
Codrington,-28.95,153.24,72.05,78,70.0,75.2,13.87,90,39600,Southern_Temperate
Bluff,-23.58,149.07,87.94,31,87.94,87.94,15.79,0,36000,Southern_Temperate
Utena,55.5,25.6,40.93,95,40.93,40.93,9.26,100,7200,Northern Temperate
Fortuna,40.6,-124.16,48.51,100,46.0,50.0,2.77,90,-28800,Northern Temperate
Mount Gambier,-37.83,140.78,66.2,55,66.2,66.2,12.75,0,37800,Southern_Temperate
Barao de Melgaco,-16.19,-55.97,77.0,88,77.0,77.0,2.24,100,-14400,Tropic_Capricorn
Saskylakh,71.97,114.09,-17.3,96,-17.3,-17.3,3.65,99,32400,Arctic
Albany,42.65,-73.75,10.58,78,3.0,19.0,3.13,20,-18000,Northern Temperate
Muisne,0.61,-80.02,74.53,89,74.53,74.53,9.57,100,-18000,Tropic_Cancer
Lavrentiya,65.58,-170.99,2.52,62,2.52,2.52,7.92,0,43200,Arctic
Bani Walid,31.76,14.0,70.7,30,70.7,70.7,16.71,19,7200,Northern Temperate
Norman Wells,65.28,-126.83,-38.2,65,-38.2,-38.2,4.0,5,-25200,Northern Temperate
Faanui,-16.48,-151.75,80.24,73,80.24,80.24,8.52,100,-36000,Tropic_Capricorn
Chau Doc,10.71,105.12,89.55,46,89.55,89.55,3.56,97,25200,Tropic_Cancer
Richards Bay,-28.77,32.06,74.71,74,74.71,74.71,26.66,100,7200,Southern_Temperate
Aklavik,68.22,-135.01,-25.6,67,-25.6,-25.6,3.36,40,-25200,Arctic
Jamestown,-33.21,138.6,77.94,24,77.94,77.94,9.15,100,37800,Southern_Temperate
